OsID	species	experiment_acc	treatment	log2FC	adj_pvalue			
Os04g0401000	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	-9.5	3.52E-45			
Os04g0401000	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	-7.8	8.70E-38			
Os01g0859300	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	7.1	5.71E-12			
Os02g0703600	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	7	2.47E-47			
Os02g0703600	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	6.1	7.32E-05			
Os04g0401000	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 48 hour; coleoptile	-6	9.79E-14			
Os02g0703600	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in C418	5.9	2.89E-06			
Os02g0703600	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	5.9	0.000134625			
Os02g0703600	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in C418	5.8	1.28E-06			
Os02g0703600	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	5.7	2.57E-07			
Os02g0703600	oryza sativa	E-GEOD-37940	6 hour;cold stress vs 0 hour;control in C418	5.7	9.56E-06			
Os02g0703600	oryza sativa	E-GEOD-37940	2 hour;cold stress vs 0 hour;control in C418	5.7	1.97E-05			
Os01g0911700	oryza sativa	E-MTAB-4406	moderately resistant to bacterial panicle blight disease vs susceptible to bacterial panicle blight disease in control at flowering stage	-5.6	9.49E-25			
Os03g0700400	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	-5.5	1.64E-35			
Os02g0703600	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 2 hour vs control; tolerant to chilling	5.5	0.00033265			
Os01g0859300	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	5.4	3.62E-09			
Os02g0703600	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 48 hour vs control; tolerant to chilling	5.4	1.95E-05			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7342 vs mock	5.3	3.71E-21			
Os02g0703600	oryza sativa	E-MTAB-5941	cold temperature regimen; 2 hour vs none; 0 hour in Volano	5.2	9.06E-81			
Os01g0911700	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	5.2	1.19E-18			
Os01g0713600	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	-5.2	0.000622458			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain B8-12 vs mock	5.1	2.07E-17			
